"","ID","gender","order","experiment","difficulty","falseAlarm","trial","decide","trial.start.time","signal","humanResp","humanRT","autoResp","autoRT","ACC","stimlength","RTor","RTand","condition"
"100",5,"Female",4,"n/a","hard","n/a",100,"NO AID",575.989269972,1,1,0.441625118256,1,0.25,1,3.12396332756,0.25,0.441625118256,2
"101",5,"Female",4,"n/a","hard","n/a",101,"NO AID",577.448018074,0,0,0.702939987183,0,0.25,1,1.70668180722,0.25,0.702939987183,2
"102",5,"Female",4,"n/a","hard","n/a",102,"NO AID",579.165651083,0,1,0.481276988983,0,0.25,0,2.77173342291,0.25,0.481276988983,2
"103",5,"Female",4,"n/a","hard","n/a",103,"NO AID",580.659640074,0,0,0.787261009216,0,0.25,1,2.15311353375,0.25,0.787261009216,2
"104",5,"Female",4,"n/a","hard","n/a",104,"NO AID",582.459739923,0,0,0.539193868637,0,0.25,1,2.14603874925,0.25,0.539193868637,2
"105",5,"Female",4,"n/a","hard","n/a",105,"NO AID",584.012620926,0,0,0.466299057007,0,0.25,1,2.2540194396,0.25,0.466299057007,2
"106",5,"Female",4,"n/a","hard","n/a",106,"NO AID",585.494852066,1,1,0.640116930008,1,0.25,1,2.50737732105,0.25,0.640116930008,2
"107",5,"Female",4,"n/a","hard","n/a",107,"NO AID",587.141850948,0,0,0.401113033295,1,0.25,1,1.50897193523,0.25,0.401113033295,2
"108",5,"Female",4,"n/a","hard","n/a",108,"NO AID",588.553646088,0,1,0.669327020645,0,0.25,0,2.59349497239,0.25,0.669327020645,2
"109",5,"Female",4,"n/a","hard","n/a",109,"NO AID",590.235914946,1,1,0.795078039169,1,0.25,1,2.86810295529,0.25,0.795078039169,2
"110",5,"Female",4,"n/a","hard","n/a",110,"NO AID",592.047631025,1,0,0.479362010956,1,0.25,0,3.15329848469,0.25,0.479362010956,2
"111",5,"Female",4,"n/a","hard","n/a",111,"NO AID",593.541761875,1,1,0.681229114532,1,0.25,1,2.57441552411,0.25,0.681229114532,2
"112",5,"Female",4,"n/a","hard","n/a",112,"NO AID",595.236202002,1,0,1.34682798386,1,0.25,0,2.42038067113,0.25,1.34682798386,2
"113",5,"Female",4,"n/a","hard","n/a",113,"NO AID",597.600602865,1,1,0.502454042435,1,0.25,1,2.94755205489,0.25,0.502454042435,2
"114",5,"Female",4,"n/a","hard","n/a",114,"NO AID",599.118048906,0,1,0.232985973358,0,0.25,0,1.9788756115,0.232985973358,0.25,2
"115",5,"Female",4,"n/a","hard","n/a",115,"NO AID",600.365174055,0,1,0.433866024017,0,0.25,0,2.86596239005,0.25,0.433866024017,2
"116",5,"Female",4,"n/a","hard","n/a",116,"NO AID",601.81222105,0,1,0.354802846909,0,0.25,0,2.30769750104,0.25,0.354802846909,2
"117",5,"Female",4,"n/a","hard","n/a",117,"NO AID",603.176769018,1,1,0.558279037476,1,0.25,1,2.49983867299,0.25,0.558279037476,2
"118",5,"Female",4,"n/a","hard","n/a",118,"NO AID",604.741523981,0,0,0.521548986435,0,0.25,1,2.1084243796,0.25,0.521548986435,2
"119",5,"Female",4,"n/a","hard","n/a",119,"NO AID",606.270803928,1,1,0.496266126633,1,0.25,1,2.70871344957,0.25,0.496266126633,2
"120",5,"Female",4,"n/a","hard","n/a",120,"NO AID",607.776702881,1,1,0.44636797905,1,0.25,1,3.06377532697,0.25,0.44636797905,2
"121",5,"Female",4,"n/a","easy","n/a",1,"NO AID",619.668076992,0,1,0.48305106163,0,0.25,0,2.26658187265,0.25,0.48305106163,1
"122",5,"Female",4,"n/a","easy","n/a",2,"NO AID",621.164669037,1,0,0.306473016739,1,0.25,0,2.77140107906,0.25,0.306473016739,1
"123",5,"Female",4,"n/a","easy","n/a",3,"NO AID",622.482367992,0,1,0.196778059006,0,0.25,0,2.21021361287,0.196778059006,0.25,1
"124",5,"Female",4,"n/a","easy","n/a",4,"NO AID",623.694161892,0,0,0.0409910678864,0,0.25,1,2.45563523359,0.0409910678864,0.25,1
